Stopover
ABE
ABQ
ACK
ACV
AGS
ALB
AMA
ATL
ATW
ATY
AUS
AVL
AVP
BDL
BFD
BFL
BGR
BHM
BIL
BMI
BNA
BOI
BOS
BTR
BTV
BUF
BUR
BWI
BZN
CAE
CEZ
CHA
CHO
CHS
CID
CKB
CLE
CLT
CMH
CMI
CNM
COS
COU
CSG
CVG
CVN
DAY
DCA
DEN
DFW
DSI
DSM
DTW
DUJ
ECP
ELD
ELP
ESC
EUG
EVV
EWR
EYW
FAR
FAT
FCA
FLL
FNT
FSD
FWA
GEG
GLH
GNV
GPT
GRB
GRR
GSO
GSP
GTF
HHH
HLN
HOB
HOT
HPN
HRO
HSV
HYA
HYS
IAD
IAH
ICT
IDA
ILM
IMT
IND
IPL
IWD
JAC
JAN
JAX
JFK
LAS
LAX
LBB
LEX
LFT
LGA
LIT
LNK
LNS
MAF
MBS
MCI
MCO
MDT
MEM
MFR
MGM
MGW
MHK
MHT
MIA
MKE
MKL
MLI
MOB
MRY
MSN
MSO
MSP
MSS
MSY
MTJ
MVY
MYR
OAK
OGG
OGS
OKC
OMA
ONT
ORD
ORF
OTH
PBI
PDX
PHF
PHL
PHX
PIA
PIT
PNS
PSC
PSP
PVD
PWM
RAP
RDD
RDM
RDU
RIC
RNO
ROA
ROC
RSW
SAF
SAN
SAT
SAV
SBA
SBN
SBP
SDF
SEA
SFO
SGF
SHD
SHV
SJC
SJU
SLC
SLK
SLN
SMF
SNA
SRQ
STL
STS
SUN
SUX
SYR
TBN
TEX
TLH
TPA
TRI
TUL
TUS
TVC
TYS
UIN
XNA
